# Benchmark, evals, iterations, total, min, max, median
CCheckQueueSpeedPrevectorJob, 11, 90.8181818181818, 2.553944012, 0.0014307267037037, 0.00519483692682927, 0.002228064
CCoinsCaching, 11, 80292.0909090909, 2.485032298, 1.81665156994021e-06, 5.72779972456812e-06, 2.00281248127422e-06
ConnectBlockAllEcdsa, 11, 1, 7.291579858, 0.437410356, 1.203199337, 0.613680639
ConnectBlockAllSchnorr, 11, 1, 4.475382028, 0.365281185, 0.520126771, 0.3752721
ConnectBlockMixedEcdsaSchnorr, 11, 1, 9.268874778, 0.61722907, 1.305671151, 0.715035554
SignTransactionECDSA, 11, 432.909090909091, 3.014341942, 0.000542179751196172, 0.00108723011383929, 0.000558454053977273
SignTransactionSchnorr, 11, 688.727272727273, 3.234160018, 0.000411959245801527, 0.00047881433081571, 0.000416956236804565
VerifyScriptP2TR_KeyPath, 11, 2205.54545454545, 3.310778756, 0.000134978212200436, 0.000139115012627489, 0.000135906237046632
VerifyScriptP2TR_ScriptPath, 11, 1175.36363636364, 3.221652777, 0.000240436527272727, 0.000282751716914987, 0.00024292247235387
VerifyScriptP2WPKH, 11, 2179.54545454545, 3.332708888, 0.000136559281425891, 0.000150084140686275, 0.000137408198439785
